"","UMAP1","UMAP2","gene","module","color","hub","kME"
"DPM1",0.0758932045145807,-1.78227388944105,"DPM1","Module1","#f4c40f","other",0.504497994310663
"BAD",4.27764053255757,0.774187206368887,"BAD","Module2","#fe9b00","other",0.137140441864665
"LAP3",1.14278502375324,-1.99085700597242,"LAP3","Module1","#f4c40f","hub",0.813148869639026
"LASP1",-12.0546076783494,0.0767886630110384,"LASP1","Module3","#d8443c","other",0.11829667723586
"ARF5",4.56322784334858,5.81258976374193,"ARF5","Module4","#9b3441","other",0.310046067159357
"FKBP4",5.06554717928608,-5.26361644353346,"FKBP4","Module5","#de597c","other",0.706471158818139
"NDUFAB1",6.380042265956,-1.45971205915884,"NDUFAB1","Module2","#fe9b00","other",0.520893554968543
"UPF1",-11.87227563947,-4.88279235448316,"UPF1","Module6","#e87b89","other",0.0813710763503616
"SLC25A5",6.54255075365742,-1.54580849494413,"SLC25A5","Module2","#fe9b00","other",0.592190460420078
"CCDC109B",6.61424369723042,6.69852316294237,"CCDC109B","Module4","#9b3441","other",0.231962637731051
"POLR2J",1.30752260595997,-0.490895719189203,"POLR2J","Module7","#9f5691","other",0.236646392360589
"WDR54",0.828088354174691,-1.01878780025617,"WDR54","Module1","#f4c40f","other",0.164839611277307
"KMT2E",1.12912304312428,-6.30240142430738,"KMT2E","Module8","#633372","other",0.163959503511095
"ITGAL",-11.9924519547776,-3.02973425473646,"ITGAL","Module3","#d8443c","other",0.215547649715137
"RALA",4.93024558932026,-5.03530538167433,"RALA","Module5","#de597c","other",0.487053546261109
"IFRD1",1.79530126959522,1.03048980150744,"IFRD1","Module2","#fe9b00","other",0.0595175096968734
"CCDC124",4.47619457155903,2.35956084642931,"CCDC124","Module2","#fe9b00","other",0.280620907745702
"TRAPPC6A",-0.790292430813712,2.79207074556872,"TRAPPC6A","Module9","#1f6e9c","other",0.0916228403310207
"MATK",-0.923868943150443,1.79092299852892,"MATK","Module7","#9f5691","other",0.243724548642232
"LUC7L",5.36316366106709,-4.14819514836744,"LUC7L","Module5","#de597c","other",0.237087874932008
"MYLIP",-1.2700573691682,-0.45660466041044,"MYLIP","Module7","#9f5691","other",0
"PSMB1",3.61368007570942,-1.54793101634458,"PSMB1","Module2","#fe9b00","other",0.506692529807521
"CDK11A",5.72452659517964,-2.26296925630048,"CDK11A","Module5","#de597c","other",0.143230978779601
"SS18L2",5.19865054995258,-1.76393067922071,"SS18L2","Module5","#de597c","other",0.349873581752867
"IL32",-1.70436863988201,3.87433159266039,"IL32","Module10","#2b9b81","other",0.348165658579175
"RPS20",-12.0148623475389,-4.52200186337904,"RPS20","Module6","#e87b89","hub",0.629569306330281
"TRAF3IP3",-1.343151260312,-0.902370111007249,"TRAF3IP3","Module7","#9f5691","other",0.619967511794203
"BAZ1B",-1.3838555106477,-3.5964218386598,"BAZ1B","Module11","#92c051","other",0.314825055878255
"ZNF207",-0.541718859370154,-3.07179653729871,"ZNF207","Module11","#92c051","other",0.57499350879158
"UQCRC1",5.65481634051045,-1.92423105325178,"UQCRC1","Module2","#fe9b00","other",0.326183573774255
"STARD3NL",0.605766367022592,4.62611973200365,"STARD3NL","Module10","#2b9b81","other",0.0206126634533873
"CD9",-0.948091615136069,0.319939374070609,"CD9","Module7","#9f5691","other",0.275119792080352
"FYN",0.207262527052957,-7.0190542944856,"FYN","Module8","#633372","other",0.249501217172665
"TTC19",0.414227854315835,-1.36601820673422,"TTC19","Module1","#f4c40f","other",0.323974311051254
"PSMC4",4.70202798754414,-2.84052193250135,"PSMC4","Module2","#fe9b00","other",0.411666727965507
"CD6",0.918945979182321,-6.70566976155714,"CD6","Module8","#633372","other",0.148657246007334
"MDH1",3.94016046435078,-1.38616818274931,"MDH1","Module2","#fe9b00","other",0.38102804467147
"CD74",6.51518649965962,-2.83862674321607,"CD74","Module5","#de597c","other",0.199142000490656
"NCDN",5.08200044542988,-5.29138839330152,"NCDN","Module5","#de597c","other",0.296166261006516
"RUNX3",-11.7996027955369,-4.94696867551283,"RUNX3","Module6","#e87b89","other",0.399839142635442
"SERPINB1",-0.579995889361304,1.18725192461535,"SERPINB1","Module7","#9f5691","other",0.491957705307467
"RNH1",1.102862786357,0.00920337353273637,"RNH1","Module7","#9f5691","other",0.371221839558659
"RB1CC1",0.0230874827547846,-3.07635653104261,"RB1CC1","Module11","#92c051","other",0.459674826681755
"BIRC3",0.833234023158151,-6.82770764913038,"BIRC3","Module8","#633372","other",0.283456729049438
"STRAP",6.02297468096455,-1.84585726346449,"STRAP","Module5","#de597c","other",0.407207798251445
"DEF6",-1.19727926343243,0.172296403985465,"DEF6","Module7","#9f5691","other",0.629336780575358
"CD44",0.956359099452096,-6.72048223103956,"CD44","Module8","#633372","other",0.179699486103525
"SLAMF7",-11.862621594365,-1.08149218644575,"SLAMF7","Module3","#d8443c","other",0.219656852466555
"SH2D2A",5.75749034792622,-3.45910966481642,"SH2D2A","Module5","#de597c","other",0.597296646674415
"TNFRSF1B",-1.06184511273662,-3.98560202207044,"TNFRSF1B","Module8","#633372","other",0.0962860218098136
"TBPL1",4.49914855868061,2.0935093155913,"TBPL1","Module2","#fe9b00","other",0.150155094617317
"BAK1",6.11605710894306,-1.65250545825437,"BAK1","Module2","#fe9b00","other",0.241108056537296
"SARS",3.79121823221882,-1.7870854147859,"SARS","Module2","#fe9b00","other",0.226745105735369
"ARID4A",-1.62600903600017,-2.99194324101881,"ARID4A","Module11","#92c051","other",0.314176148885248
"TMSB10",0.6270800939246,5.46680128489062,"TMSB10","Module10","#2b9b81","other",0.437552081323717
"RNF19A",4.52104110628803,-5.51162850942091,"RNF19A","Module5","#de597c","other",0.427260364189612
"GABARAPL2",6.14416904360493,-1.6183043726869,"GABARAPL2","Module2","#fe9b00","other",0.571574951889341
"BOD1L1",-11.9071639069871,-2.19318950261549,"BOD1L1","Module3","#d8443c","other",0.047959787198318
"PSMA4",0.521136712138253,-1.27003836717085,"PSMA4","Module1","#f4c40f","hub",0.841872280852397
"CAPG",-0.218798656161231,0.64808249388262,"CAPG","Module7","#9f5691","other",0.762963393099633
"AP2S1",4.54682655245503,0.98736107264086,"AP2S1","Module2","#fe9b00","other",0.476556771013361
"HSPA5",0.517411243025857,-6.51552713002638,"HSPA5","Module8","#633372","other",0.0925233834504612
"TPR",-0.855764258797568,-3.17506826009229,"TPR","Module11","#92c051","other",0.517978082333137
"MAP4",-1.10313891261379,-3.00439059819654,"MAP4","Module11","#92c051","other",0.334555449663374
"NOP16",5.30758924395283,-4.2529946574159,"NOP16","Module5","#de597c","other",0.113325367819736
"RSF1",-1.30956392377178,-3.53812158193067,"RSF1","Module11","#92c051","other",0.373772551241187
"CELF2",-1.37020497411053,-0.61398324455694,"CELF2","Module7","#9f5691","other",0.603847306287706
"FAM120A",-11.9308846482591,-2.32035219754652,"FAM120A","Module3","#d8443c","other",0.0415495424829511
"CYBA",4.5636040678664,2.87593734179064,"CYBA","Module2","#fe9b00","other",0.752129343234928
"THOC3",6.52453393847187,-3.03986370648817,"THOC3","Module5","#de597c","other",0.214225042226357
"USE1",4.11000080019673,-0.673857838768518,"USE1","Module2","#fe9b00","other",0.0959144144185865
"THRAP3",0.809498142306405,-2.54924833859876,"THRAP3","Module11","#92c051","hub",0.866482698531064
"PHPT1",1.55439729601582,2.77592360888048,"PHPT1","Module10","#2b9b81","other",0.0832530330248741
"ARID4B",-1.56218581288616,-3.09209477986768,"ARID4B","Module11","#92c051","hub",0.766479031697331
"NOP58",4.57029313952168,-5.44086825932935,"NOP58","Module5","#de597c","other",0.417807664236802
"CYFIP2",-11.9377854356126,-2.75396883573011,"CYFIP2","Module3","#d8443c","other",0.1093129972721
"PRDM1",-11.7100747117356,-4.81320512380079,"PRDM1","Module6","#e87b89","other",0.341978841357862
"PPP1R12A",-1.15597086041729,-3.09899842824415,"PPP1R12A","Module11","#92c051","other",0.626019091178224
"POLR3E",1.58873517424305,-6.45757043446974,"POLR3E","Module8","#633372","other",0.148047849568908
"MXD1",-1.40278797238628,5.0347443810515,"MXD1","Module10","#2b9b81","other",0.083616546935517
"SLC2A3",-1.67214553445141,3.69504654322192,"SLC2A3","Module10","#2b9b81","other",0.238336968931103
"YBX3",3.55896754175861,-6.26480615224317,"YBX3","Module5","#de597c","other",0.13918644763756
"WNK1",-11.9530718812303,-2.36543917741255,"WNK1","Module3","#d8443c","other",0.120395359627554
"CCAR1",-1.49017767995159,-3.42101681317762,"CCAR1","Module11","#92c051","other",0.312345678898485
"SNRNP40",4.48919172198017,2.76230347071215,"SNRNP40","Module2","#fe9b00","other",0.270746495516711
"BCAT1",4.07203216463764,-6.06633651341871,"BCAT1","Module5","#de597c","other",0
"HDAC7",-1.0505362042741,-0.778542251247919,"HDAC7","Module7","#9f5691","other",0.236929790511894
"GPBP1",4.99752159029682,-1.59116000022367,"GPBP1","Module2","#fe9b00","other",0.239277909615706
"WAPL",0.68614603192051,-7.98360240544752,"WAPL","Module8","#633372","other",0.246084908874325
"RPL18",5.41518611818989,7.96352064524218,"RPL18","Module4","#9b3441","other",0.68592821159473
"FAM107B",-11.8763640412645,-1.66225153293089,"FAM107B","Module3","#d8443c","other",0.0504375556473338
"YBX1",5.14314956576069,-2.71653401936964,"YBX1","Module5","#de597c","other",0.483772878867217
"PDE4A",1.26281399637898,-7.25715100850538,"PDE4A","Module8","#633372","other",0.112658681998487
"ZNRD1",4.8499400129958,3.95131504450365,"ZNRD1","Module2","#fe9b00","other",0.385005301861539
"IDI1",1.04335136324604,-0.961611342538154,"IDI1","Module1","#f4c40f","other",0.30458819402975
"SP100",-1.43227927773754,-2.3369060763307,"SP100","Module1","#f4c40f","other",0.427786857802022
"KLF6",-1.28422813504497,1.27282845888659,"KLF6","Module10","#2b9b81","other",0.285312242526147
"PKM",3.75835437685688,-2.51638960923628,"PKM","Module2","#fe9b00","other",0.576377507624106
"IDH3G",1.3036581984206,0.77541267786547,"IDH3G","Module7","#9f5691","other",0.401048974441442
"ROCK1",-1.43435769170086,-3.47575509633497,"ROCK1","Module11","#92c051","other",0.604467903025611
"LAPTM4A",5.03949994951923,-1.69283235158399,"LAPTM4A","Module2","#fe9b00","other",0.366179332234394
"DNAJA2",6.47486419588764,-1.5206817993112,"DNAJA2","Module2","#fe9b00","other",0.3373879291831
"CLEC2D",3.43419403940876,-6.23816335286573,"CLEC2D","Module8","#633372","other",0.265298265620538
"ATP1B3",3.59031958491047,-6.18853271092848,"ATP1B3","Module5","#de597c","other",0.509762545832783
"JMJD6",4.56234044939716,-5.46059215154127,"JMJD6","Module5","#de597c","other",0.343460782161433
"PABPC1",0.685352217261392,-7.19952952947096,"PABPC1","Module8","#633372","other",0.249320559885044
"CDC42",-1.04333340018551,-0.906519086021936,"CDC42","Module7","#9f5691","other",0.651383129146561
"NCK2",-11.7656262406663,-4.96395719136671,"NCK2","Module6","#e87b89","other",0.191707754958573
"RPL31",-12.0726054200486,-2.78119027699903,"RPL31","Module6","#e87b89","other",0.445319220277228
"ACAP1",0.139227371518212,0.484640716653311,"ACAP1","Module7","#9f5691","other",0.761973991034846
"ST6GAL1",-12.0589688309983,-2.70108985986189,"ST6GAL1","Module3","#d8443c","other",0.161853676359161
"MRPS34",4.24691553026875,2.18066084299608,"MRPS34","Module9","#1f6e9c","other",0.493092159840416
"EED",4.48764343172749,-1.40026053871588,"EED","Module2","#fe9b00","other",0.154829049642356
"NCBP3",1.07718892008503,-7.8695353278108,"NCBP3","Module8","#633372","other",0.206507130633515
"HACD3",1.49466235548695,-7.67700707997755,"HACD3","Module8","#633372","other",0.207392075133761
"ENO1",0.762739490573007,-2.02327966775373,"ENO1","Module1","#f4c40f","hub",1
"MYDGF",0.564494799677926,-7.99910104360059,"MYDGF","Module8","#633372","other",0.29306881285889
"SRI",2.04160375506123,1.64444219980761,"SRI","Module9","#1f6e9c","other",0.558633747703895
"SLC25A3",5.227210234706,-0.866679334003484,"SLC25A3","Module2","#fe9b00","other",0.512378502019338
"ACTB",-2.5734899529771,5.04501736078783,"ACTB","Module10","#2b9b81","other",0.507095990146096
"REXO2",5.40386743456562,-4.13253891553358,"REXO2","Module5","#de597c","other",0.248822041096326
"TRAF4",5.40983981997212,-4.75008189763502,"TRAF4","Module5","#de597c","other",0.111103926132663
"ICAM3",0.851800571982461,1.28245007906481,"ICAM3","Module7","#9f5691","other",0.637342840987952
"ARHGEF1",-0.375321108992499,0.738181828599417,"ARHGEF1","Module7","#9f5691","other",0.57305274866739
"STXBP2",-1.31733243554394,3.02441322718188,"STXBP2","Module10","#2b9b81","other",0.114364411693915
"TOP2B",-11.7977002152757,-1.89965719069914,"TOP2B","Module3","#d8443c","other",0.0613449903289882
